artifact_type,length_bin,satd_rate,mean_sentiment,mean_priority,count
Issue,"(9.999, 73.0]",0.2917820867959372,0.361706595174393,0.08620910335632517,1083
Issue,"(73.0, 126.0]",0.2800361336946703,0.17300185553168107,0.08684080783190433,1107
Issue,"(126.0, 179.0]",0.293790546802595,0.2328749638672885,0.09513782911453121,1079
Issue,"(179.0, 238.0]",0.34995296331138287,0.25625225886432995,0.09687336394202686,1063
Issue,"(238.0, 314.0]",0.3781048758049678,0.216093490359638,0.09941632977517227,1087
Issue,"(314.0, 413.0]",0.436397400185701,0.19792464680898886,0.0945199557930596,1077
Issue,"(413.0, 558.0]",0.5106382978723404,0.1782835257583419,0.08820911262242276,1081
Issue,"(558.0, 782.0]",0.5874190564292322,0.21118403782131104,0.08863519381886859,1081
Issue,"(782.0, 1213.0]",0.7317298797409806,0.21534420724223208,0.08478000480112313,1081
Issue,"(1213.0, 25582.0]",0.8379629629629629,0.19822661068048678,0.0896794507904326,1080
PR,"(9.999, 23.0]",0.07435719249478805,0.8391580886321041,0.07588071385899271,4317
PR,"(23.0, 44.0]",0.12047264320575392,0.7037554272338126,0.08253481977047576,3893
PR,"(44.0, 74.0]",0.1671074777590767,0.6617903224296775,0.09147319364203092,4159
PR,"(74.0, 131.0]",0.3005945303210464,0.4874170167204961,0.0897044802950104,4205
PR,"(131.0, 175.0]",0.23357849353284302,0.5315012580673709,0.0731620154969582,3943
PR,"(175.0, 271.0]",0.4114903019887061,0.4620682215807526,0.08810928717170455,4073
PR,"(271.0, 467.0]",0.5835784313725491,0.41719933347150523,0.10838624916280526,4080
PR,"(467.0, 880.0]",0.6349438750610054,0.4677024974889569,0.11268449849300971,4098
PR,"(880.0, 1742.7]",0.6882640586797066,0.5824592322790373,0.1230912072979057,4090
PR,"(1742.7, 42717.0]",0.775634765625,0.004093348827390005,0.1434204756785974,4096
